date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:51	153849/153849	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2012:04:32%20GMT	https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html	(from )
17:19:51	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2001%20May%202025%2011:49:52%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
17:19:52	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%22632da79c-26f1b%22	https://demo.dashboardpack.com/adminty-html/files/bower_components/bootstrap/dist/css/bootstrap.min.css	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/bower_components/bootstrap/dist/css/bootstrap.min.css	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:52	12312/12312	---MCZ	200	added ('OK')	text/css	etag:W/%22632da11a-3018%22	https://demo.dashboardpack.com/adminty-html/files/assets/icon/feather/css/feather.css	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/icon/feather/css/feather.css	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:52	493445/493445	---MCZ	200	added ('OK')	text/css	etag:W/%22632da10f-78785%22	https://demo.dashboardpack.com/adminty-html/files/assets/css/style.css	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/css/style.css	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:52	55301/55301	---MCZ	200	added ('OK')	text/css	etag:W/%22632da10d-d805%22	https://demo.dashboardpack.com/adminty-html/files/assets/css/jquery.mCustomScrollbar.css	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/css/jquery.mCustomScrollbar.css	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:53	20705/20705	---M--	200	added ('OK')	image/png	etag:%22632da1a9-50e1%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/logo.png	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/images/logo.png	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:53	3031/3031	---M--	200	added ('OK')	image/jpeg	etag:%22632da187-bd7%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/avatar-4.jpg	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/images/avatar-4.jpg	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:53	2295/2295	---M--	200	added ('OK')	image/jpeg	etag:%22632da186-8f7%22	https://demo.dashboardpack.com/adminty-html/files/assets/images/avatar-3.jpg	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/files/assets/images/avatar-3.jpg	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
17:19:54	545140/545140	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2012:05:29%20GMT	https://demo.dashboardpack.com/adminty-html/default/user-profile.html	C:/Users/hello/Desktop/AI%20&%20ML/admin/ad/demo.dashboardpack.com/adminty-html/default/user-profile.html	(from https://demo.dashboardpack.com/adminty-html/default/dashboard-analytics.html)
